date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
07:42:10	514/514	---M--	200	added ('OK')	text/plain	etag:%226ae713c39d20993701f7a4af8508104b:1612581331.261634%22	https://www.pnc.com/robots.txt		(from )
07:42:18	150837/150837	---M-Z	200	added ('OK')	text/html	date:Wed,%2020%20Apr%202022%2011:42:05%20GMT	https://www.pnc.com/en/personal-banking.html	C:/Users/USER/pnc/www.pnc.com/en/personal-banking.html	(from )
07:42:20	2573/2573	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2011%20Apr%202022%2012:20:48%20GMT	https://www.pnc.com/etc/designs/pnc-com/js/uuid-random-v1-3-2.js	C:/Users/USER/pnc/www.pnc.com/etc/designs/pnc-com/js/uuid-random-v1-3-2.js	(from https://www.pnc.com/en/personal-banking.html)
07:42:31	1696/1696	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Apr%202022%2011:42:21%20GMT	https://www.pnc.com/en/www.u44.pnc.com/783807/calc.js?dt=login&r=	C:/Users/USER/pnc/www.pnc.com/en/www.u44.pnc.com/783807/calc7020.js	(from https://www.pnc.com/en/personal-banking.html)
07:42:32	1696/1696	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Apr%202022%2011:42:30%20GMT	https://www.pnc.com/en/www.u47.pnc.com/783807/ethernet.js?r=	C:/Users/USER/pnc/www.pnc.com/en/www.u47.pnc.com/783807/ethernet2a3b.js	(from https://www.pnc.com/en/personal-banking.html)
07:42:33	1800/1800	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2020%20Apr%202022%2011:42:31%20GMT	https://www.pnc.com/en/GET	C:/Users/USER/pnc/www.pnc.com/en/GET	(from https://www.pnc.com/en/personal-banking.html)
07:42:34	225963/225963	---M-Z	200	added ('OK')	text/javascript	date:Wed,%2003%20Mar%202010%2007:01:40%20GMT	https://www.pnc.com/ruxitagentjs_ICA27Vfjqrux_10227211018092056.js	C:/Users/USER/pnc/www.pnc.com/ruxitagentjs_ICA27Vfjqrux_10227211018092056.js	(from https://www.pnc.com/en/personal-banking.html)
07:42:42	93487/93487	---M-Z	200	added ('OK')	application/javascript	date:Sat,%2016%20Apr%202022%2011:20:42%20GMT	https://www.pnc.com/etc/designs/pnc-foundation/clientlibs/pnc-foundation.jquery.191.min.js	C:/Users/USER/pnc/www.pnc.com/etc/designs/pnc-foundation/clientlibs/pnc-foundation.jquery.191.min.js	(from https://www.pnc.com/en/personal-banking.html)
07:42:44	30/30	---M-Z	200	added ('OK')	application/javascript	date:Tue,%2012%20Apr%202022%2011:31:16%20GMT	https://www.pnc.com/etc/designs/pnc-foundation/clientlibs/pnc-foundation.jquery.191.noconflict.min.js	C:/Users/USER/pnc/www.pnc.com/etc/designs/pnc-foundation/clientlibs/pnc-foundation.jquery.191.noconflict.min.js	(from https://www.pnc.com/en/personal-banking.html)
07:42:45	1423/1423	---M-Z	200	added ('OK')	application/javascript	date:Mon,%2004%20Apr%202022%2019:55:16%20GMT	https://www.pnc.com/etc/designs/pnc-com/clientlibs/jQuery.cookie.min.js	C:/Users/USER/pnc/www.pnc.com/etc/designs/pnc-com/clientlibs/jQuery.cookie.min.js	(from https://www.pnc.com/en/personal-banking.html)
07:42:46	668/668	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Apr%202022%2002:17:46%20GMT	https://www.pnc.com/etc/designs/pnc-com/clientlibs/pnc-com.homepage-cookie.min.js	C:/Users/USER/pnc/www.pnc.com/etc/designs/pnc-com/clientlibs/pnc-com.homepage-cookie.min.js	(from https://www.pnc.com/en/personal-banking.html)
07:42:47	5005/5005	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Apr%202022%2009:04:48%20GMT	https://www.pnc.com/etc/designs/pnc-com/clientlibs/pnc-com.fancyBox.min.css	C:/Users/USER/pnc/www.pnc.com/etc/designs/pnc-com/clientlibs/pnc-com.fancyBox.min.css	(from https://www.pnc.com/en/personal-banking.html)
07:42:48	83/83	---M-Z	200	added ('OK')	text/css	date:Sun,%2017%20Apr%202022%2016:04:02%20GMT	https://www.pnc.com/etc/designs/pnc-com/clientlibs/pnc-com.browser-upgrade.min.css	C:/Users/USER/pnc/www.pnc.com/etc/designs/pnc-com/clientlibs/pnc-com.browser-upgrade.min.css	(from https://www.pnc.com/en/personal-banking.html)
07:42:49	3746/3746	---M-Z	200	added ('OK')	text/css	date:Wed,%2013%20Apr%202022%2002:17:16%20GMT	https://www.pnc.com/etc/designs/pnc-foundation/clientlibs/pnc-foundation.webfonts.min.css	C:/Users/USER/pnc/www.pnc.com/etc/designs/pnc-foundation/clientlibs/pnc-foundation.webfonts.min.css	(from https://www.pnc.com/en/personal-banking.html)
07:42:50	6565/6565	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Apr%202022%2017:34:02%20GMT	https://www.pnc.com/etc/designs/pnc-com/clientlibs/pnc-com.print.min.css	C:/Users/USER/pnc/www.pnc.com/etc/designs/pnc-com/clientlibs/pnc-com.print.min.css	(from https://www.pnc.com/en/personal-banking.html)
07:42:51	168852/168852	---M-Z	200	added ('OK')	text/css	date:Fri,%2015%20Apr%202022%2017:17:26%20GMT	https://www.pnc.com/etc/designs/pnc-com/clientlibs/pnc-com.main.min.css	C:/Users/USER/pnc/www.pnc.com/etc/designs/pnc-com/clientlibs/pnc-com.main.min.css	(from https://www.pnc.com/en/personal-banking.html)
07:42:51	3036/3036	---M-Z	200	added ('OK')	text/css	date:Thu,%2014%20Apr%202022%2021:51:35%20GMT	https://www.pnc.com/etc/designs/pnc-com/clientlibs/pnc-com.hpg.min.css	C:/Users/USER/pnc/www.pnc.com/etc/designs/pnc-com/clientlibs/pnc-com.hpg.min.css	(from https://www.pnc.com/en/personal-banking.html)
07:42:52	50144/50144	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Apr%202022%2012:47:01%20GMT	https://www.pnc.com/etc/designs/pnc-foundation/js/libs/modernizr-dev.js	C:/Users/USER/pnc/www.pnc.com/etc/designs/pnc-foundation/js/libs/modernizr-dev.js	(from https://www.pnc.com/en/personal-banking.html)
07:42:53	24369/24369	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Apr%202022%2001:30:57%20GMT	https://www.pnc.com/etc/designs/pnc-com/clientlibs/pnc-com.fancyBox.min.js	C:/Users/USER/pnc/www.pnc.com/etc/designs/pnc-com/clientlibs/pnc-com.fancyBox.min.js	(from https://www.pnc.com/en/personal-banking.html)
07:42:53	100237/100237	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Apr%202022%2001:31:17%20GMT	https://www.pnc.com/etc.clientlibs/clientlibs/granite/jquery.min.js	C:/Users/USER/pnc/www.pnc.com/etc.clientlibs/clientlibs/granite/jquery.min.js	(from https://www.pnc.com/en/personal-banking.html)
07:42:54	348/348	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Apr%202022%2004:35:32%20GMT	https://www.pnc.com/etc/designs/pnc-com/clientlibs/pnc-com.browser-upgrade.min.js	C:/Users/USER/pnc/www.pnc.com/etc/designs/pnc-com/clientlibs/pnc-com.browser-upgrade.min.js	(from https://www.pnc.com/en/personal-banking.html)
07:42:55	3618/3618	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Apr%202022%2012:32:08%20GMT	https://www.pnc.com/etc.clientlibs/clientlibs/granite/jquery/granite/csrf.min.js	C:/Users/USER/pnc/www.pnc.com/etc.clientlibs/clientlibs/granite/jquery/granite/csrf.min.js	(from https://www.pnc.com/en/personal-banking.html)
07:42:56	3589/3589	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2017%20Apr%202022%2000:49:56%20GMT	https://www.pnc.com/etc/clientlibs/granite/csrf.min.js	C:/Users/USER/pnc/www.pnc.com/etc/clientlibs/granite/csrf.min.js	(from https://www.pnc.com/en/personal-banking.html)
07:42:57	6936/6936	---M-Z	200	added ('OK')	application/javascript	date:Fri,%2015%20Apr%202022%2001:30:19%20GMT	https://www.pnc.com/etc/designs/pnc-com/clientlibs/pnc-com.main.min.js	C:/Users/USER/pnc/www.pnc.com/etc/designs/pnc-com/clientlibs/pnc-com.main.min.js	(from https://www.pnc.com/en/personal-banking.html)
07:43:00	605117/605117	---M-Z	200	added ('OK')	application/x-javascript	etag:%22cfbdebd6c22a48fe9db3e40484a0d8f5:1648135935.515054%22	http://assets.adobedtm.com/1d90950c926aacaf003e1e8e48aeb1189d4d7901/satelliteLib-0dbd59624bb8270e8b9358f997c7c8c144a7e2d3.js	C:/Users/USER/pnc/assets.adobedtm.com/1d90950c926aacaf003e1e8e48aeb1189d4d7901/satelliteLib-0dbd59624bb8270e8b9358f997c7c8c144a7e2d3.js	(from https://www.pnc.com/en/personal-banking.html)
07:43:02	24071/24071	---M-Z	200	added ('OK')	application/javascript	date:Wed,%2013%20Apr%202022%2019:38:21%20GMT	https://www.pnc.com/etc/designs/pnc-com/clientlibs/pnc-com.navigation.min.js	C:/Users/USER/pnc/www.pnc.com/etc/designs/pnc-com/clientlibs/pnc-com.navigation.min.js	(from https://www.pnc.com/en/personal-banking.html)
07:43:03	3075/3075	---M--	200	added ('OK')	image/jpeg	date:Sun,%2030%20May%202021%2001:43:35%20GMT	https://www.pnc.com/content/dam/pnc-com/images/universal/google_play_get_it_on_badge.png	C:/Users/USER/pnc/www.pnc.com/content/dam/pnc-com/images/universal/google_play_get_it_on_badge.jpg	(from https://www.pnc.com/en/personal-banking.html)
07:43:13	1198477/1198477	---M-Z	200	added ('OK')	text/css	date:Sat,%2016%20Apr%202022%2016:58:14%20GMT	https://www.pnc.com/etc.clientlibs/pnc-aem-base/clientlibs/clientlib-base.min.css	C:/Users/USER/pnc/www.pnc.com/etc.clientlibs/pnc-aem-base/clientlibs/clientlib-base.min.css	(from https://www.pnc.com/en/personal-banking.html)
07:43:18	188878/188878	---M-Z	200	added ('OK')	text/html	date:Wed,%2020%20Apr%202022%2011:43:15%20GMT	https://www.pnc.com/en/personal-banking/virtual-wallet-overview.html?lnksrc=topnav	C:/Users/USER/pnc/www.pnc.com/en/personal-banking/virtual-wallet-overview4924.html	(from https://www.pnc.com/en/personal-banking.html)
07:43:20	155904/155904	---M-Z	200	added ('OK')	text/html	date:Wed,%2020%20Apr%202022%2011:43:18%20GMT	https://www.pnc.com/en/personal-banking/banking/checking.html?lnksrc=topnav	C:/Users/USER/pnc/www.pnc.com/en/personal-banking/banking/checking4924.html	(from https://www.pnc.com/en/personal-banking.html)
07:43:22	162493/162493	---M-Z	200	added ('OK')	text/html	date:Wed,%2020%20Apr%202022%2011:43:20%20GMT	https://www.pnc.com/en/personal-banking/banking/credit-cards.html?lnksrc=topnav	C:/Users/USER/pnc/www.pnc.com/en/personal-banking/banking/credit-cards4924.html	(from https://www.pnc.com/en/personal-banking.html)
07:43:23	181307/181307	---M-Z	200	added ('OK')	text/html	date:Wed,%2020%20Apr%202022%2011:43:18%20GMT	https://www.pnc.com/en/personal-banking/banking/savings.html?lnksrc=topnav	C:/Users/USER/pnc/www.pnc.com/en/personal-banking/banking/savings4924.html	(from https://www.pnc.com/en/personal-banking.html)
07:43:25	131368/131368	---M-Z	200	added ('OK')	text/html	date:Wed,%2020%20Apr%202022%2011:43:23%20GMT	https://www.pnc.com/en/personal-banking/banking/debit-and-prepaid-cards.html?lnksrc=topnav	C:/Users/USER/pnc/www.pnc.com/en/personal-banking/banking/debit-and-prepaid-cards4924.html	(from https://www.pnc.com/en/personal-banking.html)
07:43:30	161742/161742	---M-Z	200	added ('OK')	text/html	date:Wed,%2020%20Apr%202022%2011:43:24%20GMT	https://www.pnc.com/en/personal-banking/banking/online-and-mobile-banking.html?lnksrc=topnav	C:/Users/USER/pnc/www.pnc.com/en/personal-banking/banking/online-and-mobile-banking4924.html	(from https://www.pnc.com/en/personal-banking.html)
07:43:55	162707/162707	---M-Z	200	added ('OK')	text/html	date:Wed,%2020%20Apr%202022%2011:43:36%20GMT	https://www.pnc.com/en/personal-banking/topics/pnc-student-center.html?lnksrc=topnav	C:/Users/USER/pnc/www.pnc.com/en/personal-banking/topics/pnc-student-center4924.html	(from https://www.pnc.com/en/personal-banking.html)
07:43:56	192004/192004	---M-Z	200	added ('OK')	text/html	date:Wed,%2020%20Apr%202022%2011:43:54%20GMT	https://www.pnc.com/en/personal-banking/banking/military-banking.html?lnksrc=topnav	C:/Users/USER/pnc/www.pnc.com/en/personal-banking/banking/military-banking4924.html	(from https://www.pnc.com/en/personal-banking.html)
07:43:57	170530/170530	---M-Z	200	added ('OK')	text/html	date:Wed,%2020%20Apr%202022%2011:43:29%20GMT	https://www.pnc.com/en/personal-banking/banking/online-and-mobile-banking/atm-banking.html?lnksrc=topnav	C:/Users/USER/pnc/www.pnc.com/en/personal-banking/banking/online-and-mobile-banking/atm-banking4924.html	(from https://www.pnc.com/en/personal-banking.html)
07:43:58	174319/174319	---M-Z	200	added ('OK')	text/html	date:Wed,%2020%20Apr%202022%2011:43:56%20GMT	https://www.pnc.com/en/personal-banking/banking/workplace-banking.html?lnksrc=topnav	C:/Users/USER/pnc/www.pnc.com/en/personal-banking/banking/workplace-banking4924.html	(from https://www.pnc.com/en/personal-banking.html)
07:44:01	150895/150895	---M-Z	200	added ('OK')	text/html	date:Wed,%2020%20Apr%202022%2011:43:58%20GMT	https://www.pnc.com/en/personal-banking/borrowing/home-lending.html?lnksrc=topnav	C:/Users/USER/pnc/www.pnc.com/en/personal-banking/borrowing/home-lending4924.html	(from https://www.pnc.com/en/personal-banking.html)
07:44:02	149712/149712	---M-Z	200	added ('OK')	text/html	date:Wed,%2020%20Apr%202022%2011:43:57%20GMT	https://www.pnc.com/en/personal-banking/choice-banking.html?lnksrc=topnav	C:/Users/USER/pnc/www.pnc.com/en/personal-banking/choice-banking4924.html	(from https://www.pnc.com/en/personal-banking.html)
07:44:26	166626/166626	---M-Z	200	added ('OK')	text/html	date:Wed,%2020%20Apr%202022%2011:44:04%20GMT	https://www.pnc.com/en/personal-banking/borrowing/home-lending/mortgage-refinance.html?lnksrc=topnav	C:/Users/USER/pnc/www.pnc.com/en/personal-banking/borrowing/home-lending/mortgage-refinance4924.html	(from https://www.pnc.com/en/personal-banking.html)
